"","subject","session","site","cnr","efc","fber","fwhm","qi1","snr"
"2391","0025009",1,"NYU_2",12.6770458221436,0.441772557139674,234.447494390706,3.64992,0.0710684929293582,15.3489513397217
"2392","0025009",2,"NYU_2",11.9969358444214,0.465051473042148,253.826792420168,3.88133,0.0467471810440362,15.8991088867188
"2393","0025010",1,"NYU_2",13.706672668457,0.373706896940855,231.68813498608,3.71047,0.0674473336023073,14.4973707199097
"2394","0025010",2,"NYU_2",12.7992935180664,0.383057903846243,238.039925494107,3.60725,0.0558820294525068,14.2453756332397
"2395","0025011",1,"NYU_2",18.4816017150879,0.376544865100683,428.905280492401,3.46356,0.0430306657757942,19.7683525085449
"2396","0025011",2,"NYU_2",17.9789333343506,0.374042792523949,401.657449711522,3.47394,0.0452267802354972,19.5027313232422
"2397","0025012",1,"NYU_2",13.2508583068848,0.401202462443524,203.602416258881,3.70583,0.0594230342608996,13.456090927124
"2398","0025012",2,"NYU_2",12.4127197265625,0.398610593986624,184.620650820599,3.784,0.0563089879043072,12.7551565170288
"2399","0025013",1,"NYU_2",11.5922155380249,0.416316453078956,175.068864679426,3.66099,0.0425991028321156,12.6591844558716
"2400","0025013",2,"NYU_2",11.0083780288696,0.410529041479315,165.607106766719,3.57581,0.0453293295491285,12.5031051635742
"2401","0025014",1,"NYU_2",13.4949998855591,0.359622028144904,227.013327851439,3.65627,0.0592612654885373,14.5013732910156
"2402","0025014",2,"NYU_2",10.3672533035278,0.375296715718904,164.370009803561,3.7464,0.0586453551222115,12.2345294952393
"2403","0025015",1,"NYU_2",14.592737197876,0.401852161822315,255.187195185706,3.4814,0.0349869486059562,16.1555442810059
"2404","0025015",2,"NYU_2",16.4189987182617,0.398406557912799,307.196944968486,3.45479,0.031957558475838,18.0002899169922
"2405","0025016",1,"NYU_2",14.8355627059937,0.424615980234098,258.888861530141,3.66444,0.0357940163071901,15.6278848648071
"2406","0025016",2,"NYU_2",14.1989059448242,0.415562738115925,243.34458459014,3.57531,0.0490780373014979,15.4212474822998
"2407","0025017",1,"NYU_2",14.2814664840698,0.361357216373101,264.163265395609,3.55336,0.0452090855657823,15.6432914733887
"2408","0025017",2,"NYU_2",13.9318218231201,0.368684952990438,253.038306582335,3.51365,0.0498906984385954,14.8910484313965
"2409","0025018",1,"NYU_2",11.4488983154297,0.4202847937094,211.83841871858,3.49653,0.047871333489624,14.6416959762573
"2410","0025018",2,"NYU_2",13.9354114532471,0.419015444630758,274.031842723087,3.57895,0.0417285000900985,17.0056171417236
"2411","0025019",1,"NYU_2",10.1125364303589,0.381190937763205,201.336181104723,3.48255,0.0463666377249204,14.1372261047363
"2412","0025019",2,"NYU_2",12.5221910476685,0.3961332392083,208.973084054076,3.59195,0.0871066025528475,14.8825902938843
"2413","0025020",1,"NYU_2",9.83234119415283,0.422763820973597,147.037567958612,3.66435,0.0606932970407331,11.7727556228638
"2414","0025020",2,"NYU_2",10.7080764770508,0.419687501908714,176.608783814209,3.57331,0.0470426089158755,12.5725688934326
"2415","0025021",1,"NYU_2",13.2507543563843,0.404826091546213,225.736262825191,3.48368,0.072124675065413,15.2116107940674
"2416","0025021",2,"NYU_2",11.8821878433228,0.400100369322923,198.864929062429,3.53733,0.0701452296021221,14.4109077453613
"2417","0025022",1,"NYU_2",15.0931406021118,0.394515980014387,274.593482311468,3.53926,0.0535191833891389,17.1856746673584
"2418","0025023",1,"NYU_2",11.4323806762695,0.432373842444827,142.715215686627,3.7335,0.0701509118002021,11.8955850601196
"2419","0025023",3,"NYU_2",11.1882247924805,0.427752222719999,143.013465888391,3.78812,0.0639362764349693,11.7408151626587
"2420","0025024",2,"NYU_2",9.62744426727295,0.442316415829397,144.005637729291,3.87827,0.102953331423129,12.0079154968262
"2421","0025025",2,"NYU_2",11.6916265487671,0.391758847942309,207.0134007329,3.38796,0.0643864631974197,14.5482587814331
"2422","0025026",1,"NYU_2",17.8911228179932,0.405596758153992,363.274632270685,3.59241,0.0478923030785951,18.7158527374268
"2423","0025027",1,"NYU_2",11.5174074172974,0.420172235906759,224.882104670687,4.11178,0.0503187308039289,17.2113132476807
"2424","0025028",1,"NYU_2",10.7600841522217,0.432880936434336,159.127924347269,4.19183,0.0576062263357173,14.463418006897
"2425","0025029",1,"NYU_2",12.1371450424194,0.458862441762043,229.603620476961,3.89858,0.0401105994390407,16.6106376647949
"2426","0025030",1,"NYU_2",11.2619390487671,0.391402140683395,209.904004585817,3.99611,0.0625235729981951,16.6970863342285
"2427","0025031",1,"NYU_2",13.2060871124268,0.368355213324393,280.043947938827,4.0136,0.051354548060604,18.1638679504395
"2428","0025032",1,"NYU_2",10.5069141387939,0.435842855178317,187.634736922736,3.96907,0.0799941577944222,14.7878332138062
"2429","0025033",1,"NYU_2",10.2610216140747,0.466583634431639,217.344940102604,3.79235,0.0634231192372395,15.5649719238281
"2430","0025034",1,"NYU_2",8.14117527008057,0.431805390754331,123.619602826369,4.15408,0.0607569488980617,11.8946332931519
"2431","0025035",1,"NYU_2",12.8287620544434,0.410893323689937,262.888370015558,4.0384,0.0515685641529045,18.0583515167236
"2432","0025036",1,"NYU_2",12.9823236465454,0.385619063156171,302.320317538357,3.60461,0.0492996092082044,18.505687713623
"2433","0025037",1,"NYU_2",12.8214950561523,0.410473929399049,236.04081416232,3.90719,0.045892953027542,16.4677581787109
"2434","0025038",1,"NYU_2",14.9811410903931,0.384603320234214,339.068908757294,3.8686,0.0440984411297931,18.8374576568604
"2435","0025038",2,"NYU_2",13.8824453353882,0.378041274903579,294.058250517655,3.80408,0.0387597566639856,17.7832336425781
"2436","0025039",1,"NYU_2",11.3488759994507,0.402147860420182,184.20961772915,4.13372,0.0662045023697781,14.3358860015869
"2437","0025039",2,"NYU_2",10.7020883560181,0.404516495824636,169.157969207114,4.1558,0.050700457663987,13.5662336349487
"2438","0025040",1,"NYU_2",11.4094705581665,0.355124205564122,221.787636473301,3.90814,0.0448177950568144,15.6336622238159
"2439","0025040",2,"NYU_2",11.9082012176514,0.360438571243765,247.837403496887,3.95607,0.0313149776013742,16.8746490478516
"2440","0025041",1,"NYU_2",11.3564395904541,0.387235773773804,222.558400324515,4.07562,0.0568059636382299,16.5480632781982
"2441","0025041",2,"NYU_2",12.5,0.388030188946359,273.623496081145,4.14058,0.0520442370158268,18.3937511444092
